Sequence,Group,Gate RMSD mean (A),Gate RMSD SD (A),Latch RMSD mean (A),Latch RMSD SD (A),N frames,Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns)
nonb_067_nb,False Positive,1.8804,0.5618,3.5018,0.7339,12267,1.6714,1.6746,0.0032,-0.000319,2.9006,4.3927,1.4921,0.00404
nonb_068_nb,False Positive,1.8793,0.5701,3.527,1.2108,12267,2.0271,1.9831,-0.044,0.000348,1.6978,4.4249,2.727,0.007426
nonb_071_nb,False Positive,1.4585,0.4531,2.346,1.0381,12267,1.4083,1.5502,0.1419,0.000133,2.7583,1.8303,-0.928,-0.004024
nonb_072_nb,False Positive,3.0693,0.5723,3.5566,0.6042,12267,2.9502,3.4754,0.5252,0.001407,3.6248,4.05,0.4253,0.001116
nonb_073_nb,False Positive,3.5566,0.6689,2.4941,0.8682,12267,3.4673,4.1056,0.6383,0.001521,1.5234,3.3188,1.7954,0.004655
nonb_074_nb,False Positive,3.4799,0.5059,1.9987,0.3511,12267,3.1925,3.5355,0.343,0.000776,1.9693,2.0385,0.0692,0.000534
nonb_075_nb,False Positive,2.9064,0.9713,2.2548,0.6373,12267,2.7153,3.2494,0.534,0.002857,1.729,2.2934,0.5644,0.001845
nonb_080_nb,False Positive,3.5238,0.8892,1.95,0.3917,12267,3.2181,3.3496,0.1314,0.000134,1.7397,1.9447,0.205,0.000549
nonb_081_nb,False Positive,2.1884,0.4279,1.582,0.2985,12267,2.1938,2.1322,-0.0616,-0.000282,1.7133,1.4328,-0.2805,-0.000691
nonb_082_nb,False Positive,2.1897,0.6054,1.4793,0.3752,12267,2.3283,1.6225,-0.7058,-0.002126,1.5612,1.5134,-0.0479,4.1e-05
nonb_085_nb,False Positive,2.9617,2.084,3.2993,1.1669,12267,1.4444,5.9903,4.5459,0.01305,3.2248,2.7551,-0.4697,0.000439
nonb_086_nb,False Positive,2.5325,0.5788,1.9904,0.4166,12267,2.0665,2.6571,0.5906,0.001498,1.6769,2.0653,0.3884,0.000868
nonb_087_nb,False Positive,2.5335,0.4355,3.2671,0.7511,12267,2.0639,2.6886,0.6246,0.00151,2.2077,3.6699,1.4623,0.003846
nonb_088_nb,False Positive,3.7654,0.5763,2.1202,0.3652,12267,3.9431,3.5558,-0.3873,-0.001185,1.9627,1.9844,0.0217,9.1e-05
nonb_089_nb,False Positive,4.9084,1.3119,2.2683,0.6017,12267,3.9561,6.2044,2.2483,0.007189,1.8646,2.6892,0.8247,0.002285
nonb_115_nb,False Positive,2.2364,0.6048,3.3207,0.9012,12267,2.6413,2.139,-0.5023,-0.001134,3.5971,4.0848,0.4878,0.000968
nonb_116_nb,False Positive,2.3783,0.5899,3.3969,1.1443,12267,2.3623,2.4517,0.0894,-7.9e-05,1.977,3.2901,1.3131,0.003447
nonb_117_nb,False Positive,2.0744,0.5714,2.4526,0.6405,12267,1.8637,2.4936,0.6298,0.001858,1.8582,2.9055,1.0473,0.00276
